token_1,ws,token_2,count
",",1_NL_71_SP,AT,2
{,1_NL_67_SP,return,9
",",1_NL_91_SP,new,2
",",1_NL_46_SP,IDENTIFIER,2
;,2_NL,this,819
COMMENT,3_NL,package,334
),1_NL,default,9
default,1_SP,<,24
{,2_NL_4_SP,return,191
>,1_NL_8_SP,implements,83
{,2_NL_4_SP,public,22
public,1_SP,abstract,2657
abstract,1_SP,class,1516
{,1_NL_2_SP,final,565
this,0_None,;,8998
;,2_NL_4_SP,},2390
],0_None,[,558
{,1_NL_8_SP,{,13
{,0_None,STRING_LITERAL,1903
STRING_LITERAL,0_None,},1857
},0_None,",",4337
",",1_NL,{,50
",",1_NL_8_SP,},91
],1_SP,+,334
],0_None,",",1424
->,1_SP,new,707
},3_NL,return,61
IDENTIFIER,1_NL_8_SP,.,942
;,3_NL_12_SP,},6
",",1_NL_25_SP,IDENTIFIER,96
",",1_NL,int,229
{,1_NL_21_SP,this,63
this,0_None,",",3438
",",1_NL_4_SP,IDENTIFIER,2847
{,1_NL_2_SP,this,238
{,1_NL_2_SP,public,182
;,1_NL_4_SP,return,774
",",1_NL_30_SP,IDENTIFIER,83
{,1_NL_26_SP,for,1
",",1_NL_19_SP,IDENTIFIER,155
;,1_NL_19_SP,IDENTIFIER,6
",",1_NL_24_SP,IDENTIFIER,85
{,1_NL_20_SP,this,38
",",1_NL_22_SP,IDENTIFIER,82
&&,1_NL_14_SP,IDENTIFIER,6
",",1_NL_18_SP,IDENTIFIER,84
&&,1_NL_18_SP,IDENTIFIER,2
;,1_NL_30_SP,},27
COMMENT,1_NL,protected,3008
protected,1_SP,int,539
{,2_NL_2_SP,int,29
),1_NL_4_SP,.,2281
;,1_NL_4_SP,IDENTIFIER,1316
+,1_SP,INTEGER_LITERAL,4244
IDENTIFIER,1_SP,>=,3027
>=,1_SP,IDENTIFIER,1727
IDENTIFIER,1_SP,||,1973
;,1_NL,super,270
{,1_NL_2_SP,try,846
{,2_NL_2_SP,if,87
),1_SP,instanceof,2363
{,1_NL_2_SP,return,567
{,1_NL_48_SP,this,5
),1_NL_15_SP,.,44
class,0_None,::,118
::,0_None,IDENTIFIER,4167
->,1_SP,(,126
;,1_NL_19_SP,},42
>,1_SP,implements,838
",",1_NL_34_SP,IDENTIFIER,84
{,1_NL_30_SP,this,15
{,2_NL_2_SP,COMMENT,503
{,1_NL_2_SP,synchronized,149
{,2_NL_2_SP,AT,218
},2_NL,boolean,534
},2_NL,for,1421
{,2_NL_4_SP,enum,21
